customer_numeric_id,recommendations
301,"[Row(product_numeric_id=12349, rating=3.7176427841186523), Row(product_numeric_id=2724, rating=3.511385440826416), Row(product_numeric_id=4065, rating=3.40863299369812), Row(product_numeric_id=11680, rating=3.302865982055664), Row(product_numeric_id=7377, rating=3.273076295852661)]"
307,"[Row(product_numeric_id=4768, rating=3.2824487686157227), Row(product_numeric_id=10660, rating=3.2176055908203125), Row(product_numeric_id=12113, rating=3.204845905303955), Row(product_numeric_id=3375, rating=3.1464695930480957), Row(product_numeric_id=7889, rating=3.139352321624756)]"
308,"[Row(product_numeric_id=13054, rating=7.94620418548584), Row(product_numeric_id=4273, rating=7.800148010253906), Row(product_numeric_id=7482, rating=7.785874843597412), Row(product_numeric_id=12900, rating=7.695949077606201), Row(product_numeric_id=15969, rating=7.689314365386963)]"
326,"[Row(product_numeric_id=4058, rating=5.383592128753662), Row(product_numeric_id=30924, rating=4.961010932922363), Row(product_numeric_id=18831, rating=4.961010932922363), Row(product_numeric_id=16356, rating=4.961010932922363), Row(product_numeric_id=5348, rating=4.945804119110107)]"
328,"[Row(product_numeric_id=1953, rating=4.928231239318848), Row(product_numeric_id=6144, rating=4.609074115753174), Row(product_numeric_id=14284, rating=4.585116386413574), Row(product_numeric_id=25077, rating=4.550573825836182), Row(product_numeric_id=2523, rating=4.542049407958984)]"
334,"[Row(product_numeric_id=8495, rating=1.2684777975082397), Row(product_numeric_id=5770, rating=1.2121680974960327), Row(product_numeric_id=3415, rating=1.2111331224441528), Row(product_numeric_id=6997, rating=1.175007700920105), Row(product_numeric_id=7809, rating=1.1716618537902832)]"
341,"[Row(product_numeric_id=1461, rating=1.0231438875198364), Row(product_numeric_id=11427, rating=1.0136126279830933), Row(product_numeric_id=761, rating=0.9917440414428711), Row(product_numeric_id=8506, rating=0.9818488955497742), Row(product_numeric_id=15812, rating=0.9783508777618408)]"
359,"[Row(product_numeric_id=12914, rating=4.7585039138793945), Row(product_numeric_id=3239, rating=4.577757358551025), Row(product_numeric_id=3272, rating=4.567824363708496), Row(product_numeric_id=3990, rating=4.5416083335876465), Row(product_numeric_id=12451, rating=4.539094924926758)]"
371,"[Row(product_numeric_id=9868, rating=3.5983612537384033), Row(product_numeric_id=11446, rating=3.2703864574432373), Row(product_numeric_id=6738, rating=3.1962127685546875), Row(product_numeric_id=14381, rating=3.1586356163024902), Row(product_numeric_id=7506, rating=3.1435952186584473)]"
376,"[Row(product_numeric_id=12360, rating=5.531644344329834), Row(product_numeric_id=7491, rating=5.449397563934326), Row(product_numeric_id=4700, rating=5.441003322601318), Row(product_numeric_id=8339, rating=5.407477378845215), Row(product_numeric_id=7565, rating=5.358307361602783)]"
382,"[Row(product_numeric_id=1512, rating=4.9695940017700195), Row(product_numeric_id=6193, rating=4.42168664932251), Row(product_numeric_id=7465, rating=4.380395889282227), Row(product_numeric_id=6150, rating=4.303583145141602), Row(product_numeric_id=14275, rating=4.202314376831055)]"
392,"[Row(product_numeric_id=14290, rating=4.606257915496826), Row(product_numeric_id=11365, rating=4.336116790771484), Row(product_numeric_id=3587, rating=4.280755996704102), Row(product_numeric_id=4470, rating=4.256997108459473), Row(product_numeric_id=7220, rating=4.145710468292236)]"
414,"[Row(product_numeric_id=1824, rating=1.2932757139205933), Row(product_numeric_id=7339, rating=1.2305094003677368), Row(product_numeric_id=4549, rating=1.1964136362075806), Row(product_numeric_id=5070, rating=1.1597932577133179), Row(product_numeric_id=6314, rating=1.1581408977508545)]"
429,"[Row(product_numeric_id=4392, rating=4.2795915603637695), Row(product_numeric_id=11576, rating=3.74890398979187), Row(product_numeric_id=6058, rating=3.6798322200775146), Row(product_numeric_id=2513, rating=3.6121060848236084), Row(product_numeric_id=6530, rating=3.6041319370269775)]"
433,"[Row(product_numeric_id=7695, rating=2.888395071029663), Row(product_numeric_id=3284, rating=2.731346607208252), Row(product_numeric_id=3671, rating=2.730462074279785), Row(product_numeric_id=3993, rating=2.7190794944763184), Row(product_numeric_id=6122, rating=2.7055296897888184)]"
445,"[Row(product_numeric_id=13845, rating=5.478123664855957), Row(product_numeric_id=3129, rating=5.064321994781494), Row(product_numeric_id=5303, rating=4.961010456085205), Row(product_numeric_id=7332, rating=4.931661128997803), Row(product_numeric_id=7007, rating=4.857065200805664)]"
449,"[Row(product_numeric_id=5531, rating=4.961009979248047), Row(product_numeric_id=9903, rating=4.947088241577148), Row(product_numeric_id=9836, rating=4.774491310119629), Row(product_numeric_id=4418, rating=4.747098445892334), Row(product_numeric_id=8237, rating=4.74461555480957)]"
450,"[Row(product_numeric_id=5400, rating=5.205938339233398), Row(product_numeric_id=255, rating=4.963076114654541), Row(product_numeric_id=13069, rating=4.919210433959961), Row(product_numeric_id=12638, rating=4.918982028961182), Row(product_numeric_id=4600, rating=4.712532997131348)]"
451,"[Row(product_numeric_id=3936, rating=3.3753175735473633), Row(product_numeric_id=7814, rating=3.3554675579071045), Row(product_numeric_id=11623, rating=3.2297794818878174), Row(product_numeric_id=5276, rating=3.163905620574951), Row(product_numeric_id=7290, rating=3.145630359649658)]"
457,"[Row(product_numeric_id=7890, rating=8.262084007263184), Row(product_numeric_id=4151, rating=8.083464622497559), Row(product_numeric_id=7757, rating=7.944752216339111), Row(product_numeric_id=6356, rating=7.652998924255371), Row(product_numeric_id=1788, rating=7.618343353271484)]"
458,"[Row(product_numeric_id=11070, rating=3.5780694484710693), Row(product_numeric_id=1063, rating=3.509925127029419), Row(product_numeric_id=2228, rating=3.4438066482543945), Row(product_numeric_id=5529, rating=3.3681182861328125), Row(product_numeric_id=6094, rating=3.350029230117798)]"
463,"[Row(product_numeric_id=8353, rating=3.4235987663269043), Row(product_numeric_id=2394, rating=3.3634586334228516), Row(product_numeric_id=2792, rating=3.311490297317505), Row(product_numeric_id=4433, rating=3.296886920928955), Row(product_numeric_id=4072, rating=3.2714223861694336)]"
469,"[Row(product_numeric_id=12382, rating=5.362354755401611), Row(product_numeric_id=3241, rating=5.303145408630371), Row(product_numeric_id=4418, rating=5.086047649383545), Row(product_numeric_id=10510, rating=5.062885761260986), Row(product_numeric_id=6054, rating=4.850749492645264)]"
470,"[Row(product_numeric_id=12663, rating=5.117875099182129), Row(product_numeric_id=26748, rating=4.956269264221191), Row(product_numeric_id=20339, rating=4.956269264221191), Row(product_numeric_id=20320, rating=4.956269264221191), Row(product_numeric_id=3924, rating=4.954440116882324)]"
471,"[Row(product_numeric_id=5555, rating=2.540696144104004), Row(product_numeric_id=13003, rating=2.40730619430542), Row(product_numeric_id=5696, rating=2.3960494995117188), Row(product_numeric_id=13470, rating=2.378309488296509), Row(product_numeric_id=1919, rating=2.3490772247314453)]"
479,"[Row(product_numeric_id=5996, rating=5.002304553985596), Row(product_numeric_id=8290, rating=4.969325065612793), Row(product_numeric_id=26094, rating=4.919170379638672), Row(product_numeric_id=10909, rating=4.627487659454346), Row(product_numeric_id=7021, rating=4.542460918426514)]"
481,"[Row(product_numeric_id=2924, rating=5.336589336395264), Row(product_numeric_id=7080, rating=4.866618633270264), Row(product_numeric_id=5322, rating=4.806210994720459), Row(product_numeric_id=5486, rating=4.7448601722717285), Row(product_numeric_id=13538, rating=4.714047908782959)]"
488,"[Row(product_numeric_id=8836, rating=5.398021697998047), Row(product_numeric_id=2910, rating=5.076990127563477), Row(product_numeric_id=8937, rating=5.056711673736572), Row(product_numeric_id=4267, rating=5.051687240600586), Row(product_numeric_id=5674, rating=4.990337371826172)]"
494,"[Row(product_numeric_id=4135, rating=4.9799394607543945), Row(product_numeric_id=6667, rating=4.957283973693848), Row(product_numeric_id=5813, rating=4.867002487182617), Row(product_numeric_id=2685, rating=4.825588226318359), Row(product_numeric_id=8067, rating=4.667175769805908)]"
495,"[Row(product_numeric_id=1221, rating=1.7334659099578857), Row(product_numeric_id=6066, rating=1.6278719902038574), Row(product_numeric_id=10157, rating=1.6010780334472656), Row(product_numeric_id=8233, rating=1.489627718925476), Row(product_numeric_id=11322, rating=1.4800043106079102)]"
496,"[Row(product_numeric_id=12243, rating=4.999306678771973), Row(product_numeric_id=11415, rating=4.667771816253662), Row(product_numeric_id=6096, rating=4.532149791717529), Row(product_numeric_id=3457, rating=4.504000663757324), Row(product_numeric_id=6880, rating=4.49424409866333)]"
500,"[Row(product_numeric_id=4037, rating=4.968066692352295), Row(product_numeric_id=1066, rating=4.482154846191406), Row(product_numeric_id=3290, rating=4.435891151428223), Row(product_numeric_id=2761, rating=4.424722194671631), Row(product_numeric_id=11789, rating=4.33621883392334)]"
515,"[Row(product_numeric_id=1385, rating=5.280707836151123), Row(product_numeric_id=9445, rating=5.269665718078613), Row(product_numeric_id=11872, rating=5.045632839202881), Row(product_numeric_id=2777, rating=5.026248931884766), Row(product_numeric_id=2516, rating=5.016179084777832)]"
516,"[Row(product_numeric_id=1469, rating=4.990107536315918), Row(product_numeric_id=7184, rating=4.950506210327148), Row(product_numeric_id=3614, rating=4.720823287963867), Row(product_numeric_id=3072, rating=4.609014987945557), Row(product_numeric_id=4525, rating=4.605599880218506)]"
537,"[Row(product_numeric_id=10911, rating=4.988699436187744), Row(product_numeric_id=1461, rating=4.966833591461182), Row(product_numeric_id=717, rating=4.961171627044678), Row(product_numeric_id=11470, rating=4.952104568481445), Row(product_numeric_id=8225, rating=4.944540023803711)]"
540,"[Row(product_numeric_id=3201, rating=2.499424457550049), Row(product_numeric_id=7353, rating=2.4334239959716797), Row(product_numeric_id=8440, rating=2.187474250793457), Row(product_numeric_id=9778, rating=2.1793642044067383), Row(product_numeric_id=9389, rating=2.134248733520508)]"
555,"[Row(product_numeric_id=2774, rating=4.967864513397217), Row(product_numeric_id=3316, rating=4.530022144317627), Row(product_numeric_id=3710, rating=4.368968963623047), Row(product_numeric_id=11255, rating=4.1912150382995605), Row(product_numeric_id=1619, rating=4.161257743835449)]"
572,"[Row(product_numeric_id=3940, rating=1.3199784755706787), Row(product_numeric_id=8204, rating=1.2707091569900513), Row(product_numeric_id=4491, rating=1.23581862449646), Row(product_numeric_id=14351, rating=1.2347493171691895), Row(product_numeric_id=10745, rating=1.2149102687835693)]"
580,"[Row(product_numeric_id=765, rating=4.959333896636963), Row(product_numeric_id=11600, rating=4.6085357666015625), Row(product_numeric_id=3025, rating=4.540469169616699), Row(product_numeric_id=6079, rating=4.5358405113220215), Row(product_numeric_id=3814, rating=4.491406440734863)]"
588,"[Row(product_numeric_id=5533, rating=6.652268409729004), Row(product_numeric_id=1527, rating=6.325434684753418), Row(product_numeric_id=2352, rating=5.939895153045654), Row(product_numeric_id=11039, rating=5.818638324737549), Row(product_numeric_id=8191, rating=5.718441009521484)]"
592,"[Row(product_numeric_id=4418, rating=5.8524489402771), Row(product_numeric_id=10352, rating=5.621721267700195), Row(product_numeric_id=3159, rating=5.435544013977051), Row(product_numeric_id=5784, rating=5.3636345863342285), Row(product_numeric_id=2249, rating=5.2750420570373535)]"
608,"[Row(product_numeric_id=5065, rating=2.96818470954895), Row(product_numeric_id=6854, rating=2.807856321334839), Row(product_numeric_id=5788, rating=2.7712907791137695), Row(product_numeric_id=2751, rating=2.7027647495269775), Row(product_numeric_id=8813, rating=2.6640310287475586)]"
621,"[Row(product_numeric_id=12795, rating=4.231406211853027), Row(product_numeric_id=12561, rating=4.01611852645874), Row(product_numeric_id=12208, rating=3.9953975677490234), Row(product_numeric_id=8143, rating=3.876136302947998), Row(product_numeric_id=19500, rating=3.5847480297088623)]"
622,"[Row(product_numeric_id=7335, rating=5.43203592300415), Row(product_numeric_id=3379, rating=5.322310924530029), Row(product_numeric_id=3583, rating=5.10281229019165), Row(product_numeric_id=26695, rating=4.961010932922363), Row(product_numeric_id=22348, rating=4.961010932922363)]"
623,"[Row(product_numeric_id=5368, rating=5.017429828643799), Row(product_numeric_id=8458, rating=4.656389236450195), Row(product_numeric_id=5626, rating=4.420342922210693), Row(product_numeric_id=15085, rating=4.357821941375732), Row(product_numeric_id=21100, rating=4.269843578338623)]"
630,"[Row(product_numeric_id=888, rating=3.6450414657592773), Row(product_numeric_id=4239, rating=3.5420660972595215), Row(product_numeric_id=7274, rating=3.503851890563965), Row(product_numeric_id=1608, rating=3.395146369934082), Row(product_numeric_id=7007, rating=3.3828492164611816)]"
640,"[Row(product_numeric_id=6185, rating=4.6716227531433105), Row(product_numeric_id=1231, rating=4.563385009765625), Row(product_numeric_id=2214, rating=4.556173801422119), Row(product_numeric_id=8223, rating=4.534261703491211), Row(product_numeric_id=6189, rating=4.416784763336182)]"
662,"[Row(product_numeric_id=3265, rating=5.189418792724609), Row(product_numeric_id=2861, rating=4.9603071212768555), Row(product_numeric_id=4462, rating=4.788529396057129), Row(product_numeric_id=6225, rating=4.717023849487305), Row(product_numeric_id=9286, rating=4.6831464767456055)]"
669,"[Row(product_numeric_id=8540, rating=1.0444878339767456), Row(product_numeric_id=889, rating=0.9923524260520935), Row(product_numeric_id=12885, rating=0.9803934097290039), Row(product_numeric_id=6393, rating=0.9541962146759033), Row(product_numeric_id=1952, rating=0.9366254806518555)]"
679,"[Row(product_numeric_id=5077, rating=5.336164951324463), Row(product_numeric_id=28645, rating=5.009402275085449), Row(product_numeric_id=4586, rating=4.955650329589844), Row(product_numeric_id=2911, rating=4.9461236000061035), Row(product_numeric_id=2387, rating=4.844130516052246)]"
680,"[Row(product_numeric_id=4898, rating=6.544748306274414), Row(product_numeric_id=8555, rating=6.399303436279297), Row(product_numeric_id=3691, rating=6.367670059204102), Row(product_numeric_id=2864, rating=5.941884994506836), Row(product_numeric_id=4418, rating=5.885208606719971)]"
684,"[Row(product_numeric_id=5077, rating=5.277177810668945), Row(product_numeric_id=3139, rating=5.016653060913086), Row(product_numeric_id=2950, rating=4.966207027435303), Row(product_numeric_id=2387, rating=4.814824104309082), Row(product_numeric_id=2762, rating=4.53848123550415)]"
687,"[Row(product_numeric_id=13809, rating=9.922293663024902), Row(product_numeric_id=9081, rating=9.517901420593262), Row(product_numeric_id=2295, rating=9.489013671875), Row(product_numeric_id=13439, rating=9.479665756225586), Row(product_numeric_id=13970, rating=9.453736305236816)]"
712,"[Row(product_numeric_id=1886, rating=2.1584601402282715), Row(product_numeric_id=3242, rating=2.149458408355713), Row(product_numeric_id=5524, rating=2.1427712440490723), Row(product_numeric_id=12812, rating=2.136688709259033), Row(product_numeric_id=4941, rating=2.107456922531128)]"
